chiave,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,year,title,volume,issue,autori
journal-article-10.2307_23596370,0,0,0.7683367,0,0,0.119279,0,0,0.04998742, 0.062318843,1979,Stagnation theory and stagnation policy,3,1,Steindl&
journal-article-10.2307_23596371,0.5323989,0,0.027185483,0,0,0.39940247,0,0,0, 0.040937528,1979,Economic reform and income distribution in Hungary,3,1,Flakierski&
journal-article-10.2307_23596372,0,0.02459839,0,0,0,0.81603193,0,0,0, 0.15929659,1979,Foreign trade and industrial development: Greece and the EEC,3,1,Papantoniou&
journal-article-10.2307_23596373,0,0,0,0.021279706,0,0.70628256,0,0.028152708,0.24420847,0,1979,Origins of the post-war payments system,3,1,de Cecco&
journal-article-10.2307_23596374,0,0,0.21862036,0,0,0,0.3301183,0,0.45120844,0,1979,"Notes on consumption, investment and effective demand: II: PART II: MONETARY ANALYSIS",3,1,Garegnani&
journal-article-10.2307_23596375,0.20528448,0,0.32782736,0,0,0.11364192,0,0,0.35308775,0,1979,Economic theory and policy making in West Germany: the rôle of the Council of Economic Experts,3,1,Roberts&
journal-article-10.2307_23596376,0,0,0,0,0.17792985,0.44763178,0,0,0, 0.37423462,1979,Concentration in manufacturing in the EEC,3,1,Locksley&Ward&
journal-article-10.2307_23596379,0.013423402,0.21335238,0.03976512,0.052455664,0,0.61635566,0,0,0.06460054,0,1977,Economic reform in Hungary: problems and prospects,1,4,Hare&
journal-article-10.2307_23596380,0.029924924,0.20892654,0,0.13563667,0,0.5638238,0.025251439,0,0.036305655,0,1977,Agricultural development in less developed countries (particularly South Asia): an introduction to Bhaduri,1,4,Paine&
journal-article-10.2307_23596381,0,0.07687613,0,0.28817675,0,0.017891709,0.03734918,0,0.5796239,0,1977,On the formation of usurious interest rates in backward agriculture,1,4,Bhaduri&
journal-article-10.2307_23596382,0,0,0.30029073,0,0.02636624,0.11562913,0.0992076,0.4584704,0,0,1977,Recent theories of the capitalist state,1,4,Jessop&
journal-article-10.2307_23596383,0.0525744,0,0.71551776,0,0,0,0.1454849,0,0.08633307,0,1977,Malinvaud on Keynes,1,4,Kahn&
journal-article-10.2307_23596384,0,0.22419773,0,0,0,0,0.77556765,0,0,0,1977,On 'non-substitution' in production models,1,4,Pasinetti&
journal-article-10.2307_23596385,0.40634716,0,0.027577782,0,0,0.5216392,0,0,0.044378,0,1977,The Social Contract: post-war incomes policies and their inflationary impact,1,4,Tarling&Wilkinson&
journal-article-10.2307_23596391,0.6983832,0.012486121,0,0,0,0.16572398,0.068424836,0.05494751,0,0,1979,"Reproduction, production and the sexual division of labour",3,3,Benería&
journal-article-10.2307_23596392,0.13649961,0.41146415,0,0,0.3241525,0,0.066593125,0.06102315,0,0,1979,"The labour process, market structure and Marxist theory",3,3,Elbaum&Lazonick&Wilkinson&Zeitlin&
journal-article-10.2307_23596393,0.2442036,0.0649087,0,0,0.6468713,0,0.04398719,0,0,0,1979,Industrial relations and technical change: the case of the self-acting mule,3,3,Lazonick&
journal-article-10.2307_23596394,0.44230032,0.15722492,0,0,0.30199748,0.09839212,0,0,0,0,1979,Craft control and the division of labour: engineers and compositors in Britain 1890—1930,3,3,Zeitlin&
journal-article-10.2307_23596395,0.20674597,0.6488601,0,0,0.091573186,0.05278995,0,0,0,0,1979,Industrial relations and uneven development: a comparative study of the American and British steel industries,3,3,Elbaum&Wilkinson&
journal-article-10.2307_23596396,0,0,0.0503956,0,0.07811452,0.65905213,0.06654877,0.14582792,0,0,1979,The development of the world economy,3,3,Hobsbawm&
journal-article-10.2307_23596397,0.15500745,0.065417275,0,0.058170855,0,0.7212531,0,0,0,0,1979,The Cuban economy in 1978,3,3,Lehmann&
journal-article-10.2307_23596402,0.16932388,0,0.09353357,0,0.03945186,0.2748978,0.10704421,0.31563723,0,0,1978,Random biographical notes,2,2,Dobb&
journal-article-10.2307_23596403,0,0.37078628,0,0,0,0.3688545,0.19226474,0.059450246,0,0,1978,Dobb on the transition from feudalism to capitalism,2,2,Brenner&
journal-article-10.2307_23596404,0,0,0.075521946,0.27940917,0,0.129576,0.2583482,0.2570589,0,0,1978,The institutional framework of Dobb's economics,2,2,Kowalik&
journal-article-10.2307_23596405,0,0,0.01990524,0,0,0,0.9800354,0,0,0,1978,Maurice Dobb's critique of theories of value and distribution,2,2,Bharadwaj&
journal-article-10.2307_23596406,0,0,0,0.04954095,0,0,0.73565215,0.2108943,0,0,1978,On the labour theory of value: some methodological issues,2,2,Sen&
journal-article-10.2307_23596407,0,0.12169689,0.19634995,0.2830877,0,0.34310332,0.055688553,0,0,0,1978,"Investment, interest and degree of centralisation in Maurice Dobb's theory of the socialist economy",2,2,Nuti&
journal-article-10.2307_23596408,0,0.23751335,0.18081704,0,0,0.39469433,0.18689734,0,0,0,1978,Dobb and the Marx—Fel'dman model: a problem in Soviet economic strategy,2,2,Erlich&
journal-article-10.2307_23596409,0,0.37227905,0.03468754,0.032318547,0.11206692,0.3561512,0.042748928,0.049719997,0,0,1978,On the political economy of technological choice and development,2,2,Bagchi&
journal-article-10.2307_23596410,0,0.5026344,0.11502002,0,0,0,0.38228363,0,0,0,1978,Political economy and capitalism: notes on Dobb's theory of crisis,2,2,Shaikh&
journal-article-10.2307_23596414,0.15295883,0.115075245,0.047855847,0,0,0.6840214,0,0,0,0,1979,How to run a company and run down an economy: the effects of closing down steel-making in Corby,3,4,Rowthorn&Ward&
journal-article-10.2307_23596415,0,0,0.41575474,0,0,0,0,0,0, 0.5842087,1979,Marxian crisis theory and the rate of profit in the postwar U.S. economy,3,4,Weisskopf&
journal-article-10.2307_23596416,0,0.5882571,0.0985788,0,0,0,0.31308708,0,0,0,1979,Continuing controversy on the falling rate of profit: fixed capital and other issues,3,4,Roemer&
