"data","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","t25","year","paper_key","volume","issue","autori"
"journal-article-10.2307_23596370","0","0.023507975","0.16567509","0.016695065","0","0","0","0","0.20502813","0.14157718","0","0","0","0","0.27971777","0","0","0","0","0","0.16765556","0","0","0","0","1979","Stagnation theory and stagnation policy","3","1","Steindl&"
"journal-article-10.2307_23596371","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.019268772","0.98055667","0","0","0","0","0","0","0","0","0","1979","Economic reform and income distribution in Hungary","3","1","Flakierski&"
"journal-article-10.2307_23596372","0","0.028882647","0","0","0","0.93344444","0","0","0","0.032239392","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1979","Foreign trade and industrial development: Greece and the EEC","3","1","Papantoniou&"
"journal-article-10.2307_23596373","0","0","0","0.35966128","0","0.22124599","0","0","0.018811416","0","0","0","0","0","0","0","0","0","0","0","0.3063837","0","0","0","0.09374565","1979","Origins of the post-war payments system","3","1","de Cecco&"
"journal-article-10.2307_23596374","0","0","0","0","0","0","0.19329357","0","0.7455689","0","0","0.036500987","0","0","0.02453996","0","0","0","0","0","0","0","0","0","0","1979","Notes on consumption, investment and effective demand: II: PART II: MONETARY ANALYSIS","3","1","Garegnani&"
"journal-article-10.2307_23596375","0.14640921","0","0","0.023845732","0","0.023781354","0","0","0.3410316","0","0","0","0","0","0.1614554","0","0","0","0","0","0.2582887","0","0","0","0.04491383","1979","Economic theory and policy making in West Germany: the rôle of the Council of Economic Experts","3","1","Roberts&"
"journal-article-10.2307_23596376","0.04524371","0","0","0","0.34962803","0.41375452","0","0","0","0.13917392","0","0","0","0","0","0","0","0","0","0.051819406","0","0","0","0","0","1979","Concentration in manufacturing in the EEC","3","1","Locksley&Ward&"
"journal-article-10.2307_23596379","0.011147765","0","0","0.38241258","0","0.14783716","0","0","0","0","0","0","0","0","0.35008135","0.049034726","0","0","0","0","0.059364077","0","0","0","0","1977","Economic reform in Hungary: problems and prospects","1","4","Hare&"
"journal-article-10.2307_23596380","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.019174788","0","0","0","0","0.08929778","0","0.85058135","0.0405283","0","1977","Agricultural development in less developed countries (particularly South Asia): an introduction to Bhaduri","1","4","Paine&"
"journal-article-10.2307_23596381","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.99975187","0","0","1977","On the formation of usurious interest rates in backward agriculture","1","4","Bhaduri&"
"journal-article-10.2307_23596382","0","0","0","0","0","0","0","0","0","0","0.22467491","0","0","0.028134929","0.22823338","0","0","0","0","0","0.51886153","0","0","0","0","1977","Recent theories of the capitalist state","1","4","Jessop&"
"journal-article-10.2307_23596383","0.12477003","0","0","0","0","0","0.013059579","0","0.39573196","0","0","0.35218284","0","0","0.07849401","0","0","0","0","0","0","0","0","0","0.035593897","1977","Malinvaud on Keynes","1","4","Kahn&"
"journal-article-10.2307_23596384","0","0","0","0","0","0","0.110923424","0","0","0","0","0.8886619","0","0","0","0","0","0","0","0","0","0","0","0","0","1977","On 'non-substitution' in production models","1","4","Pasinetti&"
"journal-article-10.2307_23596385","0.09842646","0","0","0","0","0","0","0","0","0.083850406","0","0","0","0","0.058027748","0.147533","0","0","0","0","0.60319424","0","0","0","0","1977","The Social Contract: post-war incomes policies and their inflationary impact","1","4","Tarling&Wilkinson&"
"journal-article-10.2307_23596391","0.17496026","0","0","0","0","0.10693832","0","0","0","0","0.014159861","0","0.04347586","0","0","0.41016158","0.21758631","0","0","0","0.015035267","0","0.011385153","0","0","1979","Reproduction, production and the sexual division of labour","3","3","Benería&"
"journal-article-10.2307_23596392","0","0","0","0","0","0","0","0","0","0","0","0","0.044671796","0","0.20187756","0","0.5551404","0","0","0.09069442","0.10696957","0","0","0","0","1979","The labour process, market structure and Marxist theory","3","3","Elbaum&Lazonick&Wilkinson&Zeitlin&"
"journal-article-10.2307_23596393","0.12995689","0","0","0","0","0","0","0","0","0","0","0","0.43914443","0","0.020885743","0.014046616","0.1517349","0","0","0.073689915","0.17048748","0","0","0","0","1979","Industrial relations and technical change: the case of the self-acting mule","3","3","Lazonick&"
"journal-article-10.2307_23596394","0.117728375","0","0","0","0","0","0","0","0","0","0","0.012346418","0","0","0","0","0.07953536","0","0","0.22167365","0.5685398","0","0","0","0","1979","Craft control and the division of labour: engineers and compositors in Britain 1890—1930","3","3","Zeitlin&"
"journal-article-10.2307_23596395","0.10277307","0","0","0","0","0","0","0","0","0","0","0.037085325","0","0","0","0","0.053208962","0","0","0.78929454","0.01757416","0","0","0","0","1979","Industrial relations and uneven development: a comparative study of the American and British steel industries","3","3","Elbaum&Wilkinson&"
"journal-article-10.2307_23596396","0","0.05928555","0","0","0","0.30875126","0.017084375","0","0","0","0.044787068","0","0.049268372","0.068282455","0.029284716","0","0","0","0","0","0.4067934","0","0","0","0.016343512","1979","The development of the world economy","3","3","Hobsbawm&"
"journal-article-10.2307_23596397","0.06809474","0","0","0","0","0.46300167","0","0","0","0","0","0","0.041990202","0","0","0.21914825","0","0","0","0","0.18657696","0","0","0","0.020912718","1979","The Cuban economy in 1978","3","3","Lehmann&"
"journal-article-10.2307_23596402","0","0","0","0","0","0","0.037946526","0","0","0","0","0","0.041918483","0","0","0.076116174","0","0","0.012639417","0.06583883","0.33540213","0","0","0","0.41651675","1978","Random biographical notes","2","2","Dobb&"
"journal-article-10.2307_23596403","0","0","0","0","0","0","0","0","0","0","0","0.09101124","0.026675297","0","0.035596933","0","0","0","0","0","0.31718186","0","0.52944005","0","0","1978","Dobb on the transition from feudalism to capitalism","2","2","Brenner&"
"journal-article-10.2307_23596404","0","0","0","0","0","0","0.04698669","0","0","0","0.050439652","0.17601037","0.05179159","0.2726836","0","0","0","0","0","0","0.3008511","0","0","0","0.101056516","1978","The institutional framework of Dobb's economics","2","2","Kowalik&"
"journal-article-10.2307_23596405","0","0","0","0","0","0","0.63396037","0","0","0","0.05412158","0.13304016","0","0.032394465","0.1463949","0","0","0","0","0","0","0","0","0","0","1978","Maurice Dobb's critique of theories of value and distribution","2","2","Bharadwaj&"
"journal-article-10.2307_23596406","0","0","0","0","0","0","0.43797082","0","0","0","0.2188913","0.19336693","0.034100797","0.019012274","0.013876057","0","0","0","0","0","0","0","0","0","0.07469836","1978","On the labour theory of value: some methodological issues","2","2","Sen&"
"journal-article-10.2307_23596407","0","0","0.015412396","0.18061826","0","0.029403966","0","0","0","0","0","0.406832","0.015774637","0.08584638","0.026822524","0.07312806","0","0","0","0","0.15216678","0","0","0","0","1978","Investment, interest and degree of centralisation in Maurice Dobb's theory of the socialist economy","2","2","Nuti&"
"journal-article-10.2307_23596408","0","0","0","0","0","0.18480359","0","0","0","0","0","0.40674353","0","0","0.13545246","0","0","0","0","0","0.18581483","0","0","0","0.08163891","1978","Dobb and the Marx—Fel'dman model: a problem in Soviet economic strategy","2","2","Erlich&"
"journal-article-10.2307_23596409","0","0.18190666","0","0","0","0.17092012","0","0","0","0","0","0.21754384","0","0.053444635","0.02654383","0.02426989","0.03319277","0","0","0.021827081","0.16246818","0","0.025124872","0.027247665","0.041834954","1978","On the political economy of technological choice and development","2","2","Bagchi&"
"journal-article-10.2307_23596410","0","0","0","0","0","0","0","0","0","0","0","0.50349075","0","0","0.49638787","0","0","0","0","0","0","0","0","0","0","1978","Political economy and capitalism: notes on Dobb's theory of crisis","2","2","Shaikh&"
"journal-article-10.2307_23596414","0.09431712","0","0","0.02099479","0","0.3286262","0","0.19113374","0.031416655","0","0","0","0","0","0.08543897","0.09135735","0","0","0","0.15657032","0","0","0","0","0","1979","How to run a company and run down an economy: the effects of closing down steel-making in Corby","3","4","Rowthorn&Ward&"
"journal-article-10.2307_23596415","0","0","0","0","0","0","0","0","0","0.21710879","0","0","0","0","0.78282803","0","0","0","0","0","0","0","0","0","0","1979","Marxian crisis theory and the rate of profit in the postwar U.S. economy","3","4","Weisskopf&"
"journal-article-10.2307_23596416","0","0.046025477","0","0","0","0","0","0","0","0","0.030670308","0.75809544","0","0","0.122176155","0","0","0","0","0","0","0","0.041988265","0","0","1979","Continuing controversy on the falling rate of profit: fixed capital and other issues","3","4","Roemer&"
"journal-article-10.2307_23596417","0","0","0","0","0","0.7237731","0","0","0","0.27589142","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1979","EEC membership and UK trade in manufactures","3","4","Fetherston&Moore&Rhodes&"
"journal-article-10.2307_23596420","0","0","0","0","0","0","0.049363054","0","0.0555412","0","0","0.4215403","0","0","0.47337437","0","0","0","0","0","0","0","0","0","0","1980","Accumulation and exploitation: an analysis in the tradition of Marx, Sraffa and Kalecki","4","2","Bhaduri&Robinson&"
"journal-article-10.2307_23596421","0.63244414","0","0.03650541","0","0","0","0","0","0","0","0","0.023660181","0","0","0","0","0.1793041","0","0","0","0","0","0","0.12794995","0","1980","Segmentation in the US labour market: its effects on the mobility and earnings of whites and blacks","4","2","Rumberger&Carnoy&"
"journal-article-10.2307_23596422","0","0.17383963","0","0","0.06961432","0.49684533","0","0.022962151","0","0","0","0","0","0","0","0","0","0","0","0.23658745","0","0","0","0","0","1980","Government control over technology acquisition and firms' entry into new sectors: the experience of Japan's synthetic-fibre industry","4","2","Ozawa&"
"journal-article-10.2307_23596423","0.04623541","0","0","0.2444863","0.13207547","0","0","0","0","0","0","0","0.045595907","0.35968134","0.12511414","0","0.04663201","0","0","0","0","0","0","0","0","1980","The dilemmas of a socialist economy: the Hungarian experience","4","2","Kornai&"
"journal-article-10.2307_23596424","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9997244","0","0","1980","Interest rates in backward agriculture","4","2","Rao&"
"journal-article-10.2307_23596425","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.999216","0","0","1980","The formation of usurious interest rates","4","2","Ghose&"
"journal-article-10.2307_23596426","0","0","0","0","0","0","0","0","0","0","0.09040069","0","0","0","0","0","0","0","0","0","0","0","0.9080329","0","0","1980","A reply to Rao and Ghose","4","2","Bhaduri&"
"journal-article-10.2307_23596427","0","0","0","0","0","0","0.0956585","0","0","0","0","0.02479733","0","0","0","0","0","0","0","0","0","0","0","0","0.87798095","1980","The General Theory for a totalitarian state? a note on Keynes's preface to the German edition of 1936","4","2","Schefold&"
"journal-article-10.2307_23596428","0","0","0","0","0","0.8371763","0","0","0.09408623","0.0686147","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1980","The Mexican economy: recent development and future prospects","4","2",""
"journal-article-10.2307_23596431","0.107272804","0","0.06946324","0","0","0","0","0","0.0662249","0.3093291","0","0.05855082","0","0","0.1784069","0","0.03543757","0","0","0","0.17520651","0","0","0","0","1979","Wage formation in historical perspective: the French experience","3","2","Boyer&"
"journal-article-10.2307_23596432","0","0","0","0","0","0.3112142","0","0","0","0","0","0.017276743","0","0","0.63676393","0.021382054","0","0","0","0","0","0","0","0.013177096","0","1979","Primary accumulation in the USSR revisited","3","2","Vyas&"
"journal-article-10.2307_23596433","0.26182273","0","0","0","0","0","0","0","0","0","0","0","0","0","0.18454453","0.021640558","0.34513223","0","0.030922284","0","0.14125018","0","0","0","0","1979","The industrial reserve army, segmentation and the Italian labour market","3","2","Bruno&"
"journal-article-10.2307_23596434","0","0","0","0","0.055876162","0.01851324","0.118548125","0","0.08338706","0.45700923","0","0.16632539","0","0","0.08167397","0","0.018527802","0","0","0","0","0","0","0","0","1979","Industrial pricing in the United Kingdom","3","2","Sylos-Labini&"
